complaint_id,complaint_text,source,region,product_sku,created_at,category
6454030e-7447-45b7-8014-e2136659ce99,"Installation was done very poorly, the copper pipe is not insulated at all. Installation team did a sloppy job, drainage pipe is not connected correctly.",crm,Mumbai,2.0T-CASSETTE,2026-04-20 09:31:17.359784+00:00,installation_defect
69d601f4-c980-470c-8c59-755e9aecf91b,"AC bilkul thanda nahi kar raha hai, room ekdum garam hai abhi bhi.",call_center,Chennai,2.0T-CASSETTE,2026-02-23 06:36:44.965181+00:00,cooling_inefficiency
37b1178e-0a24-4fd1-a36c-f92dfe99c47b,"Indoor unit is not levelled properly and water drips because of the slope. Pipe insulation is missing in several places, condensation forms on the wall.",email,Ahmedabad,1.5T-WINDOW,2026-03-30 23:49:37.139433+00:00,installation_defect
7c3c5d48-d4a5-400f-b45a-3601c866afd5,"Outdoor unit has started making rattling and banging noises since yesterday. Heavy vibration and noise from the outdoor unit, neighbours have complained.",call_center,Delhi,1.0T-SPLIT,2026-04-22 06:21:20.159635+00:00,compressor_noise
2100d2e6-5cab-4c9d-8862-7cfbaff1d65a,Compressor makes a very loud humming sound that wakes us up at night. Loud knocking sound from compressor every time the AC starts up.,call_center,Gurgaon,1.5T-WINDOW,2026-04-16 12:52:41.723429+00:00,compressor_noise
7b960c0c-3fbf-490a-ac9b-bae1decc465d,A constant buzzing sound from the indoor unit is very disturbing at night.,crm,Mumbai,3.0T-DUCT,2026-03-29 06:18:45.955059+00:00,noise_misc
4fb2dd21-9a55-4706-8027-b8227e4948f1,"Installation wale bande ne sahi se kaam nahi kiya, drainage bhi galat lagi hai.",email,Hyderabad,1.5T-SPLIT,2026-04-05 05:00:18.934833+00:00,installation_defect
1cfbeb01-4ea6-4774-8dab-29ccc0a46122,"Outdoor unit se bahut zyada noise aa rahi hai, neighbours bhi complain kar rahe. Bahar wali unit bahut khatarnak awaaz kar rahi hai, kuch toot raha lagta hai.",call_center,Delhi,1.5T-SPLIT,2026-04-21 01:01:10.878513+00:00,compressor_noise
1ec55842-0bcf-4a06-8347-a39b710c6eed,USELESS SERVICE!! AC IS NOT COOLING THE ROOM PROPERLY EVEN AFTER RUNNING FOR THREE HOURS. THE TEMPERATURE STAYS AT 30 DEGREES NO MATTER WHAT WE SET ON THE REMOTE!!,field_tech,Mumbai,2.0T-SPLIT,2026-03-31 23:10:49.014196+00:00,cooling_inefficiency
38b962dd-845c-49dd-b3e6-c62c49839358,"Extra hidden charges were added to my bill that were never explained. Wrong amount has been charged, the bill is almost double the original quote.",whatsapp,Bangalore,3.0T-DUCT,2026-04-10 00:29:41.683130+00:00,billing_dispute
dc622f6f-575c-43a9-acef-5320bda8998e,We set it to 18 but the room is still 28 degrees after a long time.,app,Bangalore,2.0T-CASSETTE,2026-02-28 01:08:56.252277+00:00,cooling_inefficiency
8326976a-f93c-45f1-9f15-07de1285060d,"AC se paani lagatar tapak raha hai subah se, bahut pareshani ho rahi hai.",email,Chennai,2.0T-CASSETTE,2026-04-05 04:34:39.460161+00:00,water_leakage
79764a29-d649-4c1d-9bfd-8a3e6d611ada,Some unusual ticking and snapping sounds from the indoor swing motor.,email,Gurgaon,3.0T-DUCT,2026-03-10 02:39:12.796516+00:00,noise_misc
aae17792-3e9a-4610-b0d1-0efc589a8274,AC is not cooling the room properly even after running for three hours.,whatsapp,Bangalore,1.5T-WINDOW,2026-04-01 01:26:43.257350+00:00,cooling_inefficiency
d8012a1f-29fc-4af8-8180-0983a842928d,"Installation team did a sloppy job, drainage pipe is not connected correctly. Indoor unit is not levelled properly and water drips because of the slope.",email,Hyderabad,1.5T-SPLIT,2026-03-16 04:44:12.950110+00:00,installation_defect
3f66993d-7c3f-4ff9-9697-44a68f894107,Indoor blower is making a whistling noise that we never heard before.,whatsapp,Pune,2.0T-CASSETTE,2026-02-04 17:51:18.542870+00:00,noise_misc
a120ef33-86f6-4820-8592-1c640a1bb38d,"AC ke paas refrigerant gas ki smell aa rahi hai, safety ka concern hai. AC ke paas gas ki strong smell aa rahi hai, family ko uncomfortable lag raha.",whatsapp,Delhi,2.0T-SPLIT,2026-02-03 00:23:54.175856+00:00,gas_leak
c2e39751-db17-424f-8d71-61ec7ecad424,AC is not cooling the room properly even after running for three hours. The temperature stays at 30 degrees no matter what we set on the remote.,call_center,Noida,3.0T-DUCT,2026-04-14 01:26:15.675587+00:00,cooling_inefficiency
